"a";"b";"c";"d";"answer";"question";"subject_id"
"border";"height";"width";"-moz-opacity";"D";"Which of the following property is used to set the opacity of an image?
";4
"border-color";"border-style";"border-width";"border-bottom-color";"C";"Which of the following property specifies the width of a border?
";4
"border-color";"border-style";"border-width";"border-bottom-color";"D";"Which of the following property changes the color of bottom border?
";4
"border-top-color";"border-left-color";"border-right-color";"border-bottom-color";"A";"Which of the following property changes the color of top border?
";4
"Use an external style sheet, either by importing it or by linking to it";"Directly embed a document-wide style in the head element of the document";"Set an inline style rule using the style attribute directly on an element";"All of the mentioned";"D";"Which of the following is the correct way to applying style to a document?";4
"make that specific paragraph red.";"error";"nothing happens";"none of the mentioned";"A";"What will happen in this case?
<p style=color: red"">text</p>""";4
"pallet";"colour";"color";"text-decoration";"C";"The _______property is used to set the color of the text.";4
"inside an HTML element";"inside the section of an HTML page";"in an external CSS file";"all of the mentioned";"D";"Which of the following is the correct way to apply Styles?";4
"Set different list item markers for ordered lists";"Set different list item markers for unordered lists";"Set an image as the list item marker";"All of the mentioned";"D";"Which of the following CSS list properties is/are correct?";4
":empty";":nochild";":inheritance";":no-child";"A";"Which of the following selector selects an element that has no children?";4
":element";":empty";":enabled";"none of the mentioned";"C";"Which of the following selector selects the elements that are currently enabled?";4
":first-of-type";":last-child";"::first-line";"::first-letter";"A";"Which of the following selector selects the element that is the first child of its parent that is of its type?";4
":!(s)";":nth-child(s)";":not(s)";"none of the mentioned";"C";"Which of the following selector selects elements that do not match the selector s?";4
":root";":nth-oftype(n)";":only-child";"none of the mentioned";"C";"Which of the following selector selects an element if it’s the only child of its parent?";4
"Strong have yellow background";"Strong element within a p element have a yellow background";"Both p and strong have yellow background";"None of the mentioned";"B";"What will happen in this case?
p strong {background-color: yellow;}";4
"class selectors";"attribute selectors";"adjacent-sibling selector";"none of the mentioned";"C";"A similar rule called the ____________ is specified using the plus sign (+) and is used to select elements that would be siblings of each other.";4
"E#id";".class";"#id";"*";"C";"Which of the following selectors selects any tag with an id attribute set?";4
"E > F";"E F";"E + F";"E ~ F";"A";"Which of the following selectors selects direct descendents?";4
"E.class";"E ~ F";"*";"E, F, G";"B";"Which of the following selectors selects siblings?";4
":target";":selection";"::selection";":URI";"A";"Which of the following selector selects the element that is the target of a referring URI?";4
":valid";":required";":optional";":invalid";"A";"Which of the following selector applies styles to elements that are valid per HTML5 validations set either with the pattern or type attributes?";4
"class Selectors";"element Selectors";"id Selectors";"none of the mentioned";"B";"p {line-height: 150%;}.What type of selector is used in this case?";4
"class rule";"element rule";"id rule";"none of the mentioned";"C";" By applying an ___________ a style can be applied to just a single tag.";4
"class";"element";"id";"none of the mentioned";"A";"The _____________ attribute is used to define the name(s) of the class(es) to which a particular tag belongs.";4
"pseudo-tag";"pseudo-element";"pseudo-id";"pseudo-class";"D";"A ___________ is used to define a special state of an element.";4
"align";"float";"position";"padding";"C";"The __________ property specifies the type of positioning method used for an element.";4
"E[attr^=value]";"E[attr$=value]";"E[attr*=value]";"none of the mentioned";"B";"Which of the following selector selects all elements of E that have the attribute attr that end with the given value?";4
"E ~ F";"::after";":checked";"none of the mentioned";"C";"Which of the following selector selects the elements that are checked?";4
":default";":%";":disabled";"none of the mentioned";"A";"Which of the following selector selects the elements that are the default among a set of similar elements?";4
"E.class";"E ~ F";"*";"E, F, G";"A";"Which of the following selectors selects the specified elements of type E with a particular class value?";4
"E > F";"E F";"E + F";"E ~ F";"C";"Which of the following selectors selects adjacent siblings?";4
"div";"span";"box-model";"both (A) and (B)";"D";"Which of the following elements are block and inline elements, respectively, that have no particular rendering?";4
"margin";"box-sizing";"padding";"none of the mentioned";"B";"The _____________ property allows us to include the padding and border in an element’s total width and height.";4
"clammper";"clip";"clear";"none of the mentioned";"B";"____________ property sets the coordinates of the clipping shape that exposes or hides the content of absolutely positioned elements";4
"background-color";"border";"color";"display";"A";"The _____________ property specifies the background color of an element.";4
"background-color";"border";"color";"display";"D";"The ___________ property specifies if/how an element is displayed.";4
"size";"tab-size";"tab-space";"all of the mentioned";"B";"Identify the CSS property that specifies the length of the space used for the tab character.";4
"hidden";"auto";"scroll";"all of the mentioned";"D";"Which of the following is an appropriate value for overflow element?";4
"order";"z-index";"p-index";"auto";"B";"Which of the following property specifies the stack order of an element?";4
"sort";"layout";"order";"asort";"C";"Which of the following property specifies the order of a flexible item relative to the rest of the flexible items inside the same container?";4
"opacity";"transparency";"transparent";"all of the mentioned";"A";"Which of the following CSS property sets the opacity level for an element?";4
"@important";"!important!";"!important";"important!";"C";"If a particular rule should never be overridden by another rule, the ____________ indication should be used.";4
"Tag";"Selector";"Declaration";"Both (C) and (D)";"D";"Which of the following option a rule consists of?";4
"Tag";"Property";"Selector";"Class";"B";"Which of the following option a declaration consist of?";4
"Tag";"Selector";"Declaration";"Class";"B";"The ______________ is the link between the HTML document and the style. It specifies what elements are affected by the declaration.";4
"Import a style sheet using the CSS @import notation.";"Apply the basic, document-wide style sheet for the document by using the style element";"Link an external style sheet to the document using the link elemen";"All of the mentioned";"D";"How a style sheet can be glued to the HTML document?";4
"!important";"delay";"inherit";"important";"C";"Each property may also have a cascaded value of ___________ which means that, for a given element, the property takes the same specified value as the property for the element’s parent.";4
"mask-image";"mask-box-image";"mask-attachment";"mask-origin";"D";"___________ property specifies how the position of the mask should be calculated by setting the origin relative to different locations within an element’s box.";4
"marquee-style";"marquee-play-count";"marquee-direction";"none of the mentioned";"C";"_____________ property specifies the direction in which a marquee should move.";4
"mask-image";"mask-box-image";"mask-attachment";"mask-origin";"C";"_____________ property specifies whether the mask should scroll or stay fixed when the page is scrolled.";4
"mask";"mask-box-image";"mask-attachment";"mask-origin";"A";"___________ property defines a mask to be used as a box’s overlay in order to clip the box to a complex shape.";4
"rem";"kd";"rr";"hx";"A";"Which of the following measurement is relative to font-size of the root element?";4
"@important";"@page";"@css";"@html";"B";"An ___________ rule is used to define a page block for printed styles.";4
"/!– comments –!/";"/! comments !/";"/* comments */";"None of the mentioned";"C";"Which of the following represents a comment?";4
"@media";"@charset";"@font-face";"None of the mentioned";"A";"An ___________ rule can be used to define style rules for multiple media types in a single embedded style sheet";4
"@media";"@charset";"@font-face";"None of the mentioned";"B";"A single _____________ rule can be used in an external sheet to define character set encoding of the style rules and values.";4
"background";"background-position";"background-attachment";"none of the mentioned";"C";"______________ property sets the background image to scroll or not to scroll with its associated element’s content";4
"pre";"border-color";"border-collapse";"table";"C";"_____________ property defines whether table cell borders are connected or separate.";4
"border";"border-spacing";"border-style";"none of the mentioned";"B";"_____________ property defines the space between cells in a table.";4
"border-color";"border";"border-style";"none of the mentioned";"D";"____________ property defines whether table cell borders are connected or separate.";4
"e";"xh";"ex";"rxh";"C";"Which of the following measurement defines a measurement relative to a font’s x-height?";4
"vw";"vmax";"vmin";"ch";"B";"Which of the following measurement is relative to 1percentage of viewport’s larger dimension?";4
"vw";"vmax";"vmin";"ch";"A";"Which of the following measurement is relative to 1percentage of the width of the viewport?";4
"ch";"rem";"%";"vh";"D";"Which of the following measurement is relative to 1% of the height of the viewport?";4
"HSLa Color";"HSL Color";"RGBa Color";"RGB Color";"D";"Which of the following is the Color Format that is a defined using the keyword rgb, followed by three numbers between 0 and 255, contained in parentheses and separated by commas, with no spaces between them.";4
"unicode-bidi";"visibility";"top";"vertical-align";"A";"Which of the following property allows the text direction to be overridden to support multiple languages and text flow directions in the same document?";4
"display";"visibility";"transperancy";"disappear";"B";"Which of the following property determines whether or not an element is visible?";4
"image";"background-image";"float";"none of the mentioned";"B";" ____________ property associates a background image with an element.";4
"space";"display";"widows";"white-space";"D";"Which of the following property controls how spaces, tabs, and newline characters are handled in an element?";4
"px";"in";"em";"pt";"A";"Which of the following measurement defines a measurement in pixels?";4
"white-space";"widows";"display";"width";"B";"Which of the following property defines the minimum number of lines in a paragraph to be left at the top of a page?";4
"outline-radius";"opacity";"outline-offset";"overflow-style";"C";"Which of the following property defines the offset from an element’s border and its outline?";4
"scrollbar-base-color";"scrollbar-arrow-color";"scrollbar-darkshadow-color";"scrollbar-face-color";"D";"Which of the following property defines a color for the face of a scroll bar, including arrow regions and the scroll box?";4
"overflow-style";"opacity";"overflow-x";"perspective";"D";"Which of the following property is used to give a 3-D sense of depth to an element?";4
"scrollbar-base-color";"scrollbar-arrow-color";"scrollbar-darkshadow-color";"scrollbar-face-color";"B";"Which of the following property is used to set the color of the arrow icon within a scroll bar?";4
"flex";"flex-flow";"flex-wrap";"all of the mentioned";"B";"Which of the following CSS property can be used to provide the flex-direction and flex-wrap properties?";4
"table-caption";"cell-caption";"caption-side";"caption-adjust";"C";"Choose the CSS property which specifies the placement of a table caption.";4
"flex-scale";"flex-size";"flex-grow";"flex-flow";"C";"Which of the following specifies how much the item will grow relative to the rest of the flexible items inside the same container?";4
"wrap-content";"fix-content";"adjust-content";"justify-content";"D";"Which of the following property aligns the flexible container’s items when the items do not use all available space on the main-axis?";4
"line-wrap";"break-word";"word-wrap";"word-break";"C";"Which of the following property allows long words to be able to be broken and wrap onto the next line?";4
"display";"white-space";"sr";"word-spacing";"D";"Which of the following property sets the spacing between words?";4
"c";"cm";"centi";"centimeter";"B";"Which of the following measurement defines a measurement in centimeters?";4
"px";"in";"em";"pt";"C";"Which of the following measurement defines a measurement relative to the height of a font in em spaces?";4
"px";"in";"em";"pt";"D";"Which of the following measurement defines a measurement in points?";4
"px";"in";"em";"pt";"B";"Which of the following measurement defines a measurement in inches?";4
"overflow-style";"opacity";"overflow-x";"perspective";"C";"Which of the following property allows a marquee to be used in the case of a text overflow?";4
"text-justify";"text-fill-color";"text-align-last";"none of the mentioned";"C";"Which of the following property defines the text alignment rules on the alignment of the last line of an element?";4
"Which of the following strings are defined by in css?";"double quotes";"both (A) and (B)";"none of the mentioned";"C";"Which of the following strings are defined by in css?";4
"Class";"Key";"Counters";"None of the mentioned";"C";"Which of the following defined as alphanumeric names that correspond to some current counter value in a document?";4
"Specification defined named colors";"System Color Names";"6-Hex Color";"3-Hex Color";"C";"Which of the following is the Color Format that is a CSS’s six-digit hexadecimal format as color defined in (X)HTML?";4
"HSLa Color";"HSL Color";"RGBa Color";"RGB Color";"A";"Which of the following is the Color Format that is the CSS3 HSL value with a fourth value to set the alpha channel value for the color to define the opacity of the element?";4
"child to parent";"parent to child";"grandparents to parents";"none of the mentioned";"B";"As a general rule, properties in CSS inherit from ___________ elements";4
"Float";"Align";"Gradients";"Color";"B";"CSS3 ___________ let you display smooth transitions between two or more specified colors";4
"Outline Offset";"Resize";"Unit";"None of the mentioned";"B";"The ___________________ property specifies whether or not an element should be resizable by the user.";4
"author";"user";"user-agent";"none of the mentioned";"A";"The __________ specifies style sheets for a source document according to the conventions of the document language. For instance, in HTML, style sheets may be included in the document or linked externally.";4
"author";"user";"user-agent";"none of the mentioned";"B";"The __________ may be able to specify style information for a particular document. For example, the user may specify a file that contains a style sheet or the user agent may provide an interface that generates a user style sheet.";4
"box-sizing";"box-shadow";"box-reflect";"none of the mentioned";"C";"Which of the following property specifies the size of the mask?";4
"column-break";"column-break-after";"column-count";"column-break-before";"B";"Which of the following property is used to control column element breaks after an associated element when flowing multicolumn text?";4
"column-float";"column-flow";"column-gap";"column-width";"C";"Which of the following property defines the gap between columns in a multicolumn text flow?";4
"column";"column-rule";"column-change";"column-check";"B";"Which of the following property defines the style, width, and color of the rule divider between columns in a multicolumn text flow?";4
"column-width";"column-rule";"column-float";"column-rule-width";"D";"Which of the following property defines the width of a rule between columns in a multicolumn text flow?";4
"font";"background";"background-color";"background-position";"B";"Which of the following property sets in a shorthand form any or all background properties?";4
"border-style";"border-collapse";"border-color";"border-bottom-width";"B";"Which of the following property defines whether table cell borders are connected or separate?";4
"border-left";"border-right";"border-right-style";"border-style";"C";"Which of the following property defines the style for the right border of an element?";4
"border-width";"border-top";"border";"border-style";"D";"Which of the following property defines the visual style of up to four different sides of a border?";4
"clip";"clamp";"clip-wekit";"clamp-webkit";"B";"Which of the following property sets the coordinates of the clipping shape that exposes or hides the content of absolutely positioned elements?";4
"move";"@keyframes";"accelerator";"none of the mentioned";"C";"Which of the following property specifies whether an element is an accelerator indicator or not.";4
"animation-direction";"animation-iteration-count";"animation";"animation-timing-function";"B";"Which of the following property is used to define the number of times an animation should play?";4
"background-clip";"backface-visibility";"behavior";"background-origin";"B";"Which of the following property is used to indicate whether the backside of an element is visible if the element is rotated to display the back?";4
"behavior";"anim";"binding";"none of the mentioned";"C";"Which of the following property defines a relationship between bound elements(s) and some code or content?";4
"writing-mode";"language-mode";"text-mode";"writing-mode";"A";"Which of the following property can be used to set text flow appropriate for European alphabets or East Asian alphabets?";4
"animation-delay";"animation-iteration-count";"animation-duration";"animation-name";"D";"Which of the following property is used to define the animations that should be run?";4
"transition-set";"transition-wrap";"transition";"animation";"C";"Which of the following property is used to describe all transition-related properties at once?";4
"transition";"transition-property";"transition-wrap";"transition-style";"B";"Which of the following property is used to define which properties a transition will be applied to?";4
"left";"right";"none";"all of the mentioned";"D";"Which of the following values are zccepted by the float Property?";4
"format";"clean";"clear";"remove";"C";"Which of the following property is used to control the behavior of floating elements?";4
"transform-style";"transform";"transition";"transform-origin";"B";"Which of the following property allows elements to be offset, rotated, scaled, and skewed in a variety of different ways?";4
"transition-duration";"transition-delay";"transition";"transform-style";"D";"Which of the following property is used to define how nested items are rendered in a 3-D space, the choice being either flattened or with their dimensions preserved?";4
"transition-property";"transition-timing";"transition-duration";"user-select";"C";"Which of the following property is used to define the time it takes one iteration of an animation to play?";4
"table-background";"background";"color";"none of the mentioned";"B";"Which of the following property is used to change the background in a table?";4
"height";"table-height";"resize";"position-y";"A";"Which of the following property is used to change the height of a table?";4
"align";"text";"text-align";"none of the mentioned";"C";"Which of the following property is used to align the text in a table?";4
"border";"padding";"dotted";"text";"A";"Which of the following property is used to set order in a table?";4
"::after";":after";"#after";"none of the mentioned";"A";"Which of the following selector same as :after; changed under CSS3 to make pseudo-elements obvious?";4
"matrix3d(n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n)";"matrix(n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n)";"matrix2d(n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n)";"all of the mentioned";"A";"Which of the following transform property value defines a 3D transformation, using a 4×4 matrix of 16 values?";4
"rotate-Z(angle)";"rotate-Z-axis(angle)";"rotateZ(angle)";"all of the mentioned";"C";"Which of the following transform property value defines a 3D rotation along the Z-axis?";4
"rotate-Z(angle)";"rotate-Z-axis(angle)";"rotateZ(angle)";"all of the mentioned";"C";"Which of the following transform property value defines a 3D rotation along the Z-axis?";4
"rotate3d(x,y,z,angle)";"rotated(x,y,z,angle)";"rotate-all(x,y,z,angle)";"rotate(x,y,z,angle)";"A";"Which of the following transform property value defines a 3D rotation?";4
"animation";"animation-name";"animation-element";"none of the mentioned";"B";"Which of the following CSS Property selects an animation defined in an @keyframes rule and applies it to the element?";4
"table";"border";"table:border";"none of the mentioned";"B";"Which of the following property is used to specify table borders in CSS?";4
"border";"border-collapse";"collapse";"table-border";"B";"Which of the following property sets whether the table borders are collapsed into a single border or separated:?";4
"width";"table";"table-width";"resize";"A";"Which of the following property is used to change the width of table?";4
"align";"vertical";"vertical-align";"vertical-alignment";"B";"Which of the following property sets the vertical alignment?";4
"border";"margin";"padding";"resize";"C";"Which of the following property is used to control the space between the border and content in a table?";4
"text";"content";"contents";"none of the mentioned";"C";"Which of the following property generates content in a document and is used with the :before and :after pseudo-elements?";4
"counter";"counter-increment";"counter-decrement";"none of the mentioned";"B";"Which of the following property controls CSS counter values?";4
"mouse";"cursor";"click";"focus";"D";"Which of the following property determines how the cursor displays when passed over the affected element?";4
"left";"right";"direction";"direct";"C";"Which of the following property is used to control the text direction, much like the dir attribute for (X)HTML tags?";4
"content";"display";"visibility";"none of the mentioned";"D";"Which of the following property specifies an element’s display type and can override an element’s defined presentation?";4
"counter-increment";"counter-decrement";"counter";"none of the mentioned";"A";"Which of the following property controls CSS counter values?";4
"counter";"counter-origin";"counter-reset";"none of the mentioned";"C";"Which of the following property contains a list of one or more counter names to be cleared or set to a particular value?";4
"text";"generated-content";"content";"none of the mentioned";"C";"Which of the following property is used in conjunction with the :before or :after pseudo-elements?";4
"user-origin";"user-select";"user";"all of the mentioned";"B";"Which of the following property defines the text selection policy for various portions of a document?";4
"word-wrap";"word-break";"line-wrap";"line-break";"B";"Which of the following CSS3 property can be used to allow line breaks within words?";4
"True";"False";"";"";"B";"The default value for the float property is right.State true or false.";4
"zoom";"zoom-set";"zoom-in";"zoom-out";"A";"Which of the following property is used to zoom in or out on an element?";4
"top";"up";"reverse";"fix";"A";"Which of the following CSS Property specifies the top offset of a positioned element?";4
"top";"up";"reverse";"fix";"A";"Which of the following CSS Property specifies the top offset of a positioned element?";4
"right";"left";"bottom";"up";"B";"Which of the following CSS Property Specifies the left offset of a positioned element?";4
"x-index";"y-index";"z-index";"all of the mentioned";"C";"Which of the following CSS Property sets the stacking order of positioned elements?";4
"clamp";"clip";"visibility";"static";"B";"Which of the following CSS Property Defines the area of an absolutely positioned element that remains visible?";4
"background-color";"background-image";"background-repeat";"background-position";"A";"Which of the following property is used to set the background color of an element?
";4
"background-color";"background-image";"background-repeat";"background-position";"B";"Which of the following property is used to set the background image of an element?
";4
"border-collapse";"border-spacing";"caption-side";"empty-cells";"B";"Which of the following property of a table element specifies the width that should appear between table cells?
";4
"border-collapse";"border-spacing";"caption-side";"empty-cells";"D";"Which of the following property of a table element specifies whether the border should be shown if a cell is empty?
";4
"link";"visited";"hover";"active";"A";"Which of the following property of a anchor element signifies unvisited hyperlinks?
";4
"cascaded value";"declared value";"used value";"none of the mentioned";"C";"The _______________ is the result of taking the computed value and completing any remaining calculations to make it the absolute theoretical value used in the layout of the document.";4
"specified Value";"actual value";"computed value";"cascaded value";"D";"The ____________ represents the result of the cascade: it is the declared value that wins the cascade.";4
"True";"False";"";"";"A";"The CSS cascade assigns a weight to each style rule. State true or false.";4
"author";"user";"user agent";"all of the mentioned";"D";"Which of the following are different origins of style sheets?";4
"user agent declarations";"user normal declarations";"author normal declarations";"author important declarations";"A";"Which of the following Cascading order has the highest precedence?";4
"transform-style";"transform";"transform-origin";"transform-3D";"A";"Which of the following property is used to define how nested items are rendered in a 3-D space?";4
"cascaded value";"computed value";"specified value";"declared value";"B";"The _________________ is the result of resolving the specified value.";4
"DOM’s";"!important";"CSS Animations";"Inheritance";"C";"Which of the following generate “virtual rules representing their effects when running?""""";4
"@media";"@important";"@import";"@style";"C";"Which of the following rule allows users to import style rules from other style sheets?";4
"reset";"inital";"all";"delete";"C";"Which of the following property is a shorthand that resets all CSS properties?";4
"list-style";"list-position";"list-style-position";"all of the mentioned";"C";"Which of the following CSS Property specifies whether the labels for an element’s list items are positioned inside or outside the “box defined by the listed item?""""";4
"background-position-x";"background-position-y";"background-x-axis";"background-y-axis";"A";"Which of the following CSS Property defines the x-coordinate of the background-position property?";4
"mask";"mask-position";"mask-origin";"none of the mentioned";"B";"Which of the following CSS Property specifies the position of the mask?";4
"mask-x";"mask-x-origin";"mask-position-x";"mask-origin-x";"C";"Which of the following CSS Property specifies the x-coordinate in the position of the mask?";4
"text-underline";"text-underline-origin";"text-underline-position";"none of the mentioned";"D";"Which of the following Microsoft-introduced property defines the position of underlining set by the text-decoration property?";4
"background";"background-img";"background-image";"none of the mentioned";"C";"Which of the following css property specifies an image to use as the background of an element?";4
"rotateY()";"rotate-Y()";"rotate-Yaxis()";"none of the mentioned";"A";"Which of the following method rotates an element around its Y-axis at a given degree using tranform 3D?";4
"transition-delay";"transition-effect";"transition";"transition-duration";"A";"Which of the following css property specifies a delay for the transition effect?";4
"background";"background-image";"background-repeat";"background-position";"C";"Which of the following css property repeats an image both horizontally and vertically?";4
"transform-style";"perspective(n)";"perspective-origin";"none of the mentioned";"C";"Which of the following property defines where a 3D element is based in the x- and the y-axis?";4
"3D Transforms";"Animations";"2D Transforms";"Box Model";"B";"What module introduces the ability to modify CSS property values over time, such as position or color, to create animated layouts?";4
"Behavioral Extensions";"Generated and Replaced Content";"Generated Content for Paged Media";"Grid Positioning";"C";"What module defines the management of generated content for print output, including crop mark indication, header/footer handling, and much more?";4
"auto";"id";"target-name";"inherit";"D";"Which of the following nav-right value is used to the inherits this property from its parent element?";4
"Line Layout";"Lists";"Media Queries";"Namespaces";"B";"What module defines the handling of lists, including marker styles and some aspects of counters?";4
"box-sizing";"box-model";"box-design";"box-redesign";"A";"Which of the following CSS3 property is used to tell the browser what the sizing properties should be include?";4
"DOMs";"Fonts";"Backgrounds and Borders";"Color";"A";"Which of the following Module is not available in CSS3.";4
"nav";"class";"nav-index";"class-index";"C";"Which of the following CSS3 property specifies the sequential navigation order for an element?";4
"target-name";"id";"inital";"inherit";"C";"Which of the following nav-left value sets it’s value to default value?";4
"visibility";"backface-control";"backface-visibility";"none of the mentioned";"C";"Which of the following css property defines whether or not an element should be visible when not facing the screen?";4
"focus";"hover";"mouse";"all of the mentioned";"B";"Which of the following selector is used to select and style when you place mouse over it?";4
"rotate()";"scale()";"translate()";"matrix()";"B";"Which of the following method increases or decreases the size of an element using tranform?";4
"combine()";"2D-tranform()";"matrix()";"matrix-2D()";"C";"Which of the following method combines all the 2D transform methods into one using transform?";4
"rotate()";"scale()";"translate()";"matrix()";"C";"Which of the following method moves an element from its current position using tranform?";4
"down";"nav-down";"arrow-down";"none of the mentioned";"C";"Which of the following CSS3 property specifies where to navigate when using the arrow-down navigation key?";4
"transition-delay";"transition-duration";"transition-timing-function";"transition";"C";"Which of the following property specifies the speed curve of the transition effect?";4
"Transitions";"Template Layout";"Web Fonts";"Values and Units";"D";"What module expands the absolute and relative units of measure, including significant changes to support animation and aural changes with time (s and ms) and angle (deg and rad) values?";4
"::after";":disabled";":default";":checked";"C";"Which of the following selector is used to selects the elements that are the default among a set of similar elements?";4
":nth-child(n)";"::first-line";":last-of-type";":first-of-type";"D";"Which of the following selector is used to selects the element that is the first child of its parent that is of its type?";4
":nth-child(n)";"::first-line";":last-of-type";":first-of-type";"A";"Which of the following selector is used to selects the element that is the nth child of its parent?";4
"skewX()";"skewy()";"x-axis()";"skew()";"A";"Which of the following method skews an element along the X-axis by the given angle using tranform?";4
"skewX()";"skewy()";"skew-X-Y()";"skew()";"D";"Which of the following method skews an element along the X and Y-axis by the given angles using tranform?";4
"ease";"ease-in";"ease-in-out";"none of the mentioned";"B";"Which of the following transition-timing-function property specifies a transition effect with a slow start?";4
"ease";"ease-in";"ease-in-out";"none of the mentioned";"A";"Which of the following transition-timing-function property specifies a transition effect with a slow start, then fast, then end slowly";4
"cubic(n,n,n,n)";"matrix(n,n,n,n)";"cubic-bezier(n,n,n,n)";"none of the mentioned";"C";"Which of the following transition-timing-function property lets you define your own values in a cubic-bezier function";4
"::after";"E ~ F";":checked";"E[attr^=value]";"B";"Which of the following selector is used to selects siblings?";4
"transform";"transform-style";"transform-render";"none of the mentioned";"C";"Which of the following CSS3 property specifies how nested elements are rendered in 3D space?";4
"object";"object-allign";"object-position";"object-render";"C";"Which of the following CSS3 property specifies the alignment of the replaced element inside its box?";4
"image-orientation";"image-rendering";"image-resolution";"all of the mentioned";"C";"Which of the following CSS3 property specifies the intrinsic resolution of all raster images used in/on the element?";4
"object-fit";"object-position";"image-orientation";"none of the mentioned";"A";"Which of the following CSS3 property specifies how the contents of a replaced element should be fitted to the box established by its used height and width?";4
"object-fit";"object-position";"image-orientation";"none of the mentioned";"A";"Which of the following CSS3 property specifies how the contents of a replaced element should be fitted to the box established by its used height and width?";4
":only-of-type";":target";":root";"::selection";"D";"Which of the following selector is used to selects the element that is the root of the document?";4
":valid";":target";":read-only";":required";"C";"Which of the following selector is used to select elements that are read-only. When applied to form elements, this would select fields with the readonly attribute set?";4
"s";"se";"sec";"second";"A";"Which of the following measurement represent seconds?";4
"column-break";"column-break-after";"column-break-before";"multicolumn-break-after";"B";"Which of the following property is used to control column element breaks after an associated element when flowing multicolumn text?";4
"multicolumn";"column-break-before";"column-break";"multicolumn-break-before";"B";"Which of the following property is used to control column element breaks before the associated element when flowing multicolumn text?";4
"column-color";"column-rule-color";"column-rule-style";"column-rule-decoration";"B";"Which of the following property defines the color of any rules between columns in a multicolumn text flow?";4
"Alpha";"BasicImage";"Filter";"Blur";"C";"Which of the following property is used to apply visual effects to associated elements.";4
"interpolation-mode";"image-rendering";"ime-mode";"layout-grid";"B";"Which of the following property defines the resampling method to use when stretching images?";4
"columns";"column-flow";"column-number";"column-count";"D";"Which of the following property defines the number of columns in a multicolumn text flow?";4
"column-rule-flow";"column-gap";"column-rule";"none of the mentioned";"B";"Which of the following property defines the gap between columns in a multicolumn text flow?";4
"columns";"column-flow";"column-style";"none of the mentioned";"D";"Which of the following property defines the style of the divider rule between columns in a multicolumn text flow?";4
"column-rule-style";"column-width";"column-rule-width";"columns";"C";"Which of the following property defines the width of a rule between columns in a multicolumn text flow?";4
"column-width";"column-style";"columns";"filter";"C";"Which of the following property is a shorthand definition of the number of columns and their widths in a multicolumn text flow?";4
"offset";"outline";"outline-offset";"none of the mentioned";"B";"Which of the following CSS3 property adds space between an outline and the edge or border of an element?";4
"distance";"length";"initial";"all";"B";"Which of the following outline-offset value sets the distance the outline is outset from the border edge?";4
"resize";"length";"inherit";"none of the mentioned";"B";"Which of the following CSS3 property specifies whether or not an element is resizable by the user?";4
"nav-upper";"nav-top";"nav-up";"all of the mentioned";"C";"Which of the following CSS3 property specifies where to navigate when using the arrow-up navigation key?";4
"Which of the following CSS3 property specifies where to navigate when using the arrow-right navigation key?";"nav-right";"nav-side";"none of the mentioned";"C";"Which of the following CSS3 property specifies where to navigate when using the arrow-right navigation key?";4
"Scaled Vector Graph";"Scalable Vector Graphics";"Scaled Vector Graphics";"None of the mentioned";"B";"What does SVG stands for?";4
"cx";"cy";"rr";"ry";"C";"Which of the following is not an attribute used with SVG ellipse?";4
"text";"stroke";"line";"all of the mentioned";"D";"Which of the following defines the color of a line, text or outline of an element?";4
"x";"y";"x1";"all of the mentioned";"D";"Which of the following is attribute of SVG line?";4
"float";"max-width";"margin-right";"all of the mentioned";"D";"Which of the following css property should be used to make a responsive image?";4
"larawell";"bootstrap";"rails";"django";"B";"Which of the following CSS framework is used to create a responsive design?";4
"@import";"@media";"url-bind";"binding";"D";"Which of the following css propery defines a relationship between bound elements(s) and some code or content?";4
"@keyframes";"animation-origin";"transform";"animation";"D";"Which of the following css propery define the properties that will be animated in an animation rule?";4
"transform-3D";"transform-origin";"transform";"transition";"C";"Which of the following css property allows elements to be offset, rotated, scaled, and skewed in a variety of different ways?";4
"delay";"transition-delay";"transform-delay";"none of the mentioned";"B";"Which of the following css property is used to define a delay before an animation starts?";4
"animation-duration";"animation-time";"animation-value";"none of the mentioned";"A";"Which of the following css property is used to define the time it takes one iteration of an animation to play?";4
"scale-iteration-count";"transtion-iteration-count";"animation-iteration-count";"all of the mentioned";"C";"Which of the following css property is used to define the number of times an animation should play?";4
"animation-run";"animation-name";"transtion-name";"none of the mentioned";"D";"Which of the following css property is used to define the animations that should be run?";4
"control";"animation-duration";"transition-duration";"all of the mentioned";"C";"Which of the following css property is used to define the time it takes one iteration of an animation to play?";4
"animation-property";"transition-property";"css3-property";"none of the mentioned";"B";"Which of the following css property is used to define which properties a transition will be applied to?";4
"animation-timing-function";"css3-timing-function";"transform-timing-function";"transition-timing-function";"D";"Which of the following css property is used to describe how the animation will play?";4
"transform-delay";"delay-function";"delay-animation";"animation-delay";"D";"Which of the following css property is used to define a delay before an animation starts?";4
"animation-iteration";"animation-check";"animation-direction";"animation-state";"C";"Which of the following css property is used to indicate if an animation plays in reverse or repeats itself every other iteration?";4
